id|releaseVersion|moduleSlug|moduleVersion|status
230|0.42.0|city-pass|1.0.0|1
231|0.42.0|about|1.0.0|1
207|0.40.0|construction-work-editor|1.0.0|1
208|0.40.0|waste-guide|1.0.0|1
209|0.40.0|construction-work|1.0.0|1
210|0.40.0|report-problem|1.0.0|1
211|0.40.0|contact|1.0.0|1
212|0.40.0|redirects|1.0.0|1
213|0.40.0|about|1.0.0|1
214|0.40.0|welcome|1.0.1|1
232|0.42.0|welcome|1.0.1|1
